title,location,act,scene
Edward III,Bretagne. The camp of the English.,Act 4,Scene 1
Edward III,Flanders. The French camp.,Act 3,Scene 1
Edward III,London. A room of state in the palace.,Act 1,Scene 1
Edward III,Picardy. The English camp before Calais.,Act 4,Scene 2
Edward III,Picardy. The English camp before Calais.,Act 5,Scene 1
Edward III,Picardy. The fields near Cressy.,Act 3,Scene 2
Edward III,Picardy. The fields near Cressy.,Act 3,Scene 3
Edward III,Picardy. The fields near Cressy.,Act 3,Scene 4
Edward III,Picardy. The fields near Cressy.,Act 3,Scene 5
Edward III,Poitou. Fields near Poitiers. A part of the field of battle.,Act 4,Scene 6
Edward III,Poitou. Fields near Poitiers. Another part of the field of battle.,Act 4,Scene 7
Edward III,Poitou. Fields near Poitiers. Another part of the field of battle.,Act 4,Scene 8
Edward III,Poitou. Fields near Poitiers. The English camp.,Act 4,Scene 4
Edward III,Poitou. Fields near Poitiers. The English camp.,Act 4,Scene 9
Edward III,Poitou. Fields near Poitiers. The French camp.,Act 4,Scene 5
Edward III,Poitou. Fields near Poitiers. The French camp; tent of the Duke of Normandy.,Act 4,Scene 3
Edward III,Roxborough. Another part of the castle.,Act 2,Scene 2
Edward III,Roxborough. Before the castle.,Act 1,Scene 2
Edward III,Roxborough. The gardens of the castle.,Act 2,Scene 1
Hamlet,Elsinore. A churchyard.,Act 5,Scene 1
Hamlet,Elsinore. A hall in Elsinore castle.,Act 3,Scene 2
Hamlet,Elsinore. A hall in Elsinore castle.,Act 5,Scene 2
Hamlet,Elsinore. A platform before Elsinore castle.,Act 1,Scene 4
Hamlet,Elsinore. A platform before the castle.,Act 1,Scene 1
Hamlet,Elsinore. A room in Elsinore castle.,Act 2,Scene 2
Hamlet,Elsinore. A room in Elsinore castle.,Act 3,Scene 1
Hamlet,Elsinore. A room in Elsinore castle.,Act 3,Scene 3
Hamlet,Elsinore. A room in Elsinore castle.,Act 4,Scene 1
Hamlet,Elsinore. A room in Elsinore castle.,Act 4,Scene 5
Hamlet,Elsinore. A room in Polonius' house.,Act 1,Scene 3
Hamlet,Elsinore. A room in Polonius' house.,Act 2,Scene 1
Hamlet,Elsinore. A room of state in the castle.,Act 1,Scene 2
Hamlet,Elsinore. Another part of the platform before Elsinore castle.,Act 1,Scene 5
Hamlet,Elsinore. Another room in Elsinore castle.,Act 4,Scene 2
Hamlet,Elsinore. Another room in Elsinore castle.,Act 4,Scene 3
Hamlet,Elsinore. Another room in Elsinore castle.,Act 4,Scene 6
Hamlet,Elsinore. Another room in Elsinore castle.,Act 4,Scene 7
Hamlet,Elsinore. The Queen's room in Elsinore castle.,Act 3,Scene 4
Hamlet,Near Elsinore. A plain in Denmark.,Act 4,Scene 4
"Henry IV, Pt. 1",A highway near Gadshill.,Act 2,Scene 2
"Henry IV, Pt. 1",A public road near Coventry.,Act 4,Scene 2
"Henry IV, Pt. 1",Another part of the field.,Act 5,Scene 4
"Henry IV, Pt. 1",Another part of the field.,Act 5,Scene 5
"Henry IV, Pt. 1",Eastcheap. The Boar's Head Tavern.,Act 2,Scene 4
"Henry IV, Pt. 1",Eastcheap. The Boar's Head Tavern.,Act 3,Scene 3
"Henry IV, Pt. 1",King Henry IV's camp near Shrewsbury.,Act 5,Scene 1
"Henry IV, Pt. 1",London. An apartment of the Prince's.,Act 1,Scene 2
"Henry IV, Pt. 1",London. The palace.,Act 1,Scene 1
"Henry IV, Pt. 1",London. The palace.,Act 1,Scene 3
"Henry IV, Pt. 1",London. The palace.,Act 3,Scene 2
"Henry IV, Pt. 1",Rochester. An inn yard.,Act 2,Scene 1
"Henry IV, Pt. 1",The plain between the camps.,Act 5,Scene 3
"Henry IV, Pt. 1",The rebel camp near Shrewsbury.,Act 4,Scene 1
"Henry IV, Pt. 1",The rebel camp near Shrewsbury.,Act 4,Scene 3
"Henry IV, Pt. 1",The rebel camp.,Act 5,Scene 2
"Henry IV, Pt. 1",Wales. Glendower's castle.,Act 3,Scene 1
"Henry IV, Pt. 1",Warkworth castle.,Act 2,Scene 3
"Henry IV, Pt. 1",York. The Archbishop's palace.,Act 4,Scene 4
"Henry IV, Pt. 2",Gloucestershire. Court before Shallow's house.,Act 3,Scene 2
"Henry IV, Pt. 2",Gloucestershire. Shallow's house.,Act 5,Scene 1
"Henry IV, Pt. 2",Gloucestershire. Shallow's orchard.,Act 5,Scene 3
"Henry IV, Pt. 2",Jerusalem Chamber in Westminster.,Act 4,Scene 4
"Henry IV, Pt. 2",London. A street.,Act 1,Scene 2
"Henry IV, Pt. 2",London. A street.,Act 2,Scene 1
"Henry IV, Pt. 2",London. A street.,Act 5,Scene 4
"Henry IV, Pt. 2",London. Another street.,Act 2,Scene 2
"Henry IV, Pt. 2",London. The Boar's Head Tavern in Eastcheap.,Act 2,Scene 4
"Henry IV, Pt. 2",Warkworth. Before Northumberland's castle.,Act 1,Scene 1
"Henry IV, Pt. 2",Warkworth. Before Northumberland's castle.,Act 2,Scene 3
"Henry IV, Pt. 2",Westminster. A palace room.,Act 3,Scene 1
"Henry IV, Pt. 2",Westminster. A palace room.,Act 5,Scene 2
"Henry IV, Pt. 2",Westminster. Near the Abbey.,Act 5,Scene 5
"Henry IV, Pt. 2",Westminster. The Jerusalem Chamber.,Act 4,Scene 5
"Henry IV, Pt. 2",York. A room in the Archbishop's palace.,Act 1,Scene 3
"Henry IV, Pt. 2",Yorkshire. Another part of the Forest of Gaultree.,Act 4,Scene 2
"Henry IV, Pt. 2",Yorkshire. Another part of the Forest of Gaultree.,Act 4,Scene 3
"Henry IV, Pt. 2",Yorkshire. Within the Forest of Gaultree.,Act 4,Scene 1
Henry V,Agincourt. The English camp.,Act 4,Scene 1
Henry V,Agincourt. The English camp.,Act 4,Scene 3
Henry V,Agincourt. The French camp.,Act 3,Scene 7
Henry V,Another part of the battlefield.,Act 4,Scene 5
Henry V,Another part of the battlefield.,Act 4,Scene 6
Henry V,Another part of the battlefield.,Act 4,Scene 7
Henry V,Before King Henry's pavilion.,Act 4,Scene 8
Henry V,France. An apartment in the King's palace.,Act 2,Scene 4
Henry V,France. Before Harfleur.,Act 3,Scene 1
Henry V,France. Before Harfleur.,Act 3,Scene 2
Henry V,France. Before the Harfleur Gates.,Act 3,Scene 3
Henry V,France. The English Court of Guard.,Act 5,Scene 1
Henry V,France. The French King's apartment in Troyes.,Act 5,Scene 2
Henry V,London. A street in Eastcheap.,Act 2,Scene 1
Henry V,London. Antechamber in the King's Palace.,Act 1,Scene 1
Henry V,London. Before a tavern in Eastcheap.,Act 2,Scene 3
Henry V,London. Presence Chamber in the King's Palace.,Act 1,Scene 2
Henry V,Picardy. The English camp.,Act 3,Scene 6
Henry V,Rouen. A room in the French King's palace.,Act 3,Scene 4
Henry V,Rouen. Another room in the French King's palace.,Act 3,Scene 5
Henry V,Southampton. A council-chamber.,Act 2,Scene 2
Henry V,The field of battle.,Act 4,Scene 4
Henry V,The French camp.,Act 4,Scene 2
"Henry VI, Pt. 1",A field of battle.,Act 4,Scene 6
"Henry VI, Pt. 1",Anjou. Camp of the Duke of York.,Act 5,Scene 4
"Henry VI, Pt. 1",Another part of the battlefield.,Act 4,Scene 7
"Henry VI, Pt. 1",Auvergne. Court of the Countess's castle.,Act 2,Scene 3
"Henry VI, Pt. 1",English camp near Bourdeaux.,Act 4,Scene 5
"Henry VI, Pt. 1",France. Before Angiers.,Act 5,Scene 3
"Henry VI, Pt. 1",France. Before Bourdeaux.,Act 4,Scene 2
"Henry VI, Pt. 1",France. Before Orleans.,Act 1,Scene 2
"Henry VI, Pt. 1",France. Before Orleans.,Act 1,Scene 4
"Henry VI, Pt. 1",France. Before Orleans.,Act 1,Scene 5
"Henry VI, Pt. 1",France. Before Orleans.,Act 1,Scene 6
"Henry VI, Pt. 1",France. Before Orleans.,Act 2,Scene 1
"Henry VI, Pt. 1",France. Before Rouen.,Act 3,Scene 2
"Henry VI, Pt. 1",France. Other plains in Gascony.,Act 4,Scene 4
"Henry VI, Pt. 1",France. Plains in Anjou.,Act 5,Scene 2
"Henry VI, Pt. 1",France. Plains in Gascony.,Act 4,Scene 3
"Henry VI, Pt. 1",France. The plains near Rouen.,Act 3,Scene 3
"Henry VI, Pt. 1",London. A room in the palace.,Act 5,Scene 1
"Henry VI, Pt. 1",London. A room in the palace.,Act 5,Scene 5
"Henry VI, Pt. 1",London. A room in the Tower of London.,Act 2,Scene 5
"Henry VI, Pt. 1",London. Before the Tower.,Act 1,Scene 3
"Henry VI, Pt. 1",London. The Parliament House.,Act 3,Scene 1
"Henry VI, Pt. 1",London. The temple garden.,Act 2,Scene 4
"Henry VI, Pt. 1",Orleans. Within the town.,Act 2,Scene 2
"Henry VI, Pt. 1",Paris. A hall of state.,Act 4,Scene 1
"Henry VI, Pt. 1",Paris. A room in the palace.,Act 3,Scene 4
"Henry VI, Pt. 1",Westminster Abbey.,Act 1,Scene 1
"Henry VI, Pt. 2",A hall of justice.,Act 2,Scene 3
"Henry VI, Pt. 2",Another part of Blackheath.,Act 4,Scene 3
"Henry VI, Pt. 2",Battlefield at Saint Albans.,Act 5,Scene 2
"Henry VI, Pt. 2",Blackheath.,Act 4,Scene 2
"Henry VI, Pt. 2",Bury St. Edmund's. A palace room of state.,Act 3,Scene 2
"Henry VI, Pt. 2",Coast of Kent. Seashore near Dover.,Act 4,Scene 1
"Henry VI, Pt. 2",Field nearby Saint Albans.,Act 5,Scene 3
"Henry VI, Pt. 2",Fields Between Dartford and Blackheath.,Act 5,Scene 1
"Henry VI, Pt. 2",Kenilworth Castle.,Act 4,Scene 9
"Henry VI, Pt. 2",Kent. Iden's Garden.,Act 4,Scene 10
"Henry VI, Pt. 2",London. A room in Gloucester's house.,Act 1,Scene 2
"Henry VI, Pt. 2",London. A room in the palace.,Act 1,Scene 3
"Henry VI, Pt. 2",London. A room in the palace.,Act 4,Scene 4
"Henry VI, Pt. 2",London. A room of state in the palace.,Act 1,Scene 1
"Henry VI, Pt. 2",London. A street.,Act 2,Scene 4
"Henry VI, Pt. 2",London. Cannon Street.,Act 4,Scene 6
"Henry VI, Pt. 2",London. Gloucester's Garden.,Act 1,Scene 4
"Henry VI, Pt. 2",London. Smithfield.,Act 4,Scene 7
"Henry VI, Pt. 2",London. The Cardinal's bedchamber.,Act 3,Scene 3
"Henry VI, Pt. 2",London. The Tower.,Act 4,Scene 5
"Henry VI, Pt. 2",London. York's garden.,Act 2,Scene 2
"Henry VI, Pt. 2",Southwark.,Act 4,Scene 8
"Henry VI, Pt. 2",St. Albans.,Act 2,Scene 1
"Henry VI, Pt. 2",The Abbey at Bury St. Edmund's.,Act 3,Scene 1
"Henry VI, Pt. 3",A battlefield near Barnet.,Act 5,Scene 2
"Henry VI, Pt. 3",A forest in the North of England.,Act 3,Scene 1
"Henry VI, Pt. 3",A plain in Warwickshire.,Act 4,Scene 2
"Henry VI, Pt. 3",Another part of the battlefield near Barnet.,Act 5,Scene 3
"Henry VI, Pt. 3",Another part of the battlefield near Barnet.,Act 5,Scene 5
"Henry VI, Pt. 3",Another part of the field of battle between Sandal Castle and Wakefield.,Act 1,Scene 4
"Henry VI, Pt. 3",Before York.,Act 2,Scene 2
"Henry VI, Pt. 3",Before York.,Act 4,Scene 7
"Henry VI, Pt. 3",Coventry.,Act 5,Scene 1
"Henry VI, Pt. 3",Edward's camp near Warwick.,Act 4,Scene 3
"Henry VI, Pt. 3",Field of battle between Sandal Castle and Wakefield.,Act 1,Scene 3
"Henry VI, Pt. 3",France. A room in King Lewis XI's palace.,Act 3,Scene 3
"Henry VI, Pt. 3",Herefordshire. A plain near Mortimer's Cross.,Act 2,Scene 1
"Henry VI, Pt. 3",London. A palace room.,Act 3,Scene 2
"Henry VI, Pt. 3",London. A palace room.,Act 4,Scene 1
"Henry VI, Pt. 3",London. A palace room.,Act 4,Scene 4
"Henry VI, Pt. 3",London. A palace room.,Act 4,Scene 8
"Henry VI, Pt. 3",London. A room in the palace.,Act 5,Scene 7
"Henry VI, Pt. 3",London. The Parliament House.,Act 1,Scene 1
"Henry VI, Pt. 3",London. The Tower.,Act 4,Scene 6
"Henry VI, Pt. 3",London. The Tower.,Act 5,Scene 6
"Henry VI, Pt. 3",Plains near Tewksbury.,Act 5,Scene 4
"Henry VI, Pt. 3",Yorkshire. A battlefield between Towton and Saxton.,Act 2,Scene 3
"Henry VI, Pt. 3",Yorkshire. A park near Middleham Castle.,Act 4,Scene 5
"Henry VI, Pt. 3",Yorkshire. A room in Sandal Castle.,Act 1,Scene 2
"Henry VI, Pt. 3",Yorkshire. Another part of the battlefield between Towton and Saxton.,Act 2,Scene 4
"Henry VI, Pt. 3",Yorkshire. Another part of the battlefield between Towton and Saxton.,Act 2,Scene 5
"Henry VI, Pt. 3",Yorkshire. Another part of the battlefield between Towton and Saxton.,Act 2,Scene 6
Henry VIII,A hall in Black-Friars.,Act 2,Scene 4
Henry VIII,A hall in York Place.,Act 1,Scene 4
Henry VIII,Kimbolton.,Act 4,Scene 2
Henry VIII,London. A gallery in the palace.,Act 5,Scene 1
Henry VIII,London. An ante-chamber in the palace.,Act 1,Scene 1
Henry VIII,London. An ante-chamber in the palace.,Act 1,Scene 3
Henry VIII,London. An ante-chamber in the palace.,Act 2,Scene 2
Henry VIII,London. An ante-chamber in the Queen's apartment.,Act 2,Scene 3
Henry VIII,London. Antechamber to King Henry VIII's apartment.,Act 3,Scene 2
Henry VIII,London. Queen Katherine's apartment.,Act 3,Scene 1
Henry VIII,London. The council chamber.,Act 1,Scene 2
Henry VIII,The council chamber.,Act 5,Scene 3
Henry VIII,The lobby before the council chamber.,Act 5,Scene 2
Henry VIII,The palace-yard.,Act 5,Scene 4
Henry VIII,Westminster. A street.,Act 2,Scene 1
Henry VIII,Westminster. A street.,Act 4,Scene 1
Julius Caesar,A camp near Sardis. Before Brutus's tent.,Act 4,Scene 2
Julius Caesar,A house in Rome.,Act 4,Scene 1
Julius Caesar,Before Brutus's tent.,Act 4,Scene 3
Julius Caesar,Rome. A public place.,Act 1,Scene 2
Julius Caesar,Rome. A street before the house of Brutus.,Act 2,Scene 4
Julius Caesar,Rome. A street near the capitol.,Act 2,Scene 3
Julius Caesar,Rome. A street.,Act 1,Scene 1
Julius Caesar,Rome. A street.,Act 1,Scene 3
Julius Caesar,Rome. A street.,Act 3,Scene 3
Julius Caesar,Rome. Before the capitol; the Senate sitting above.,Act 3,Scene 1
Julius Caesar,Rome. Brutus's orchard.,Act 2,Scene 1
Julius Caesar,Rome. Caesar's house.,Act 2,Scene 2
Julius Caesar,The Forum.,Act 3,Scene 2
Julius Caesar,The plains of Philippi.,Act 5,Scene 1
Julius Caesar,The plains of Philippi. Another part of the battlefield.,Act 5,Scene 3
Julius Caesar,The plains of Philippi. Another part of the battlefield.,Act 5,Scene 4
Julius Caesar,The plains of Philippi. Another part of the battlefield.,Act 5,Scene 5
Julius Caesar,The plains of Philippi. The battlefield.,Act 5,Scene 2
King John,A room in King John's palace.,Act 1,Scene 1
King John,A room in King John's pastle.,Act 4,Scene 2
King John,An open place in the neighborhood of Swinstead Abbey.,Act 5,Scene 6
King John,Another part of the battlefield.,Act 5,Scene 4
King John,Before King John's pastle.,Act 4,Scene 3
King John,France. Before the town of Angiers.,Act 2,Scene 1
King John,King John's Palace.,Act 5,Scene 1
King John,Northampton. A room in the castle.,Act 4,Scene 1
King John,The battlefield.,Act 5,Scene 3
King John,The French camp at St. Edmundsbury.,Act 5,Scene 2
King John,The French camp.,Act 5,Scene 5
King John,The French King's tent.,Act 3,Scene 1
King John,The orchard at Swinstead Abbey.,Act 5,Scene 7
King John,The plains near Angiers.,Act 3,Scene 2
King John,The plains near Angiers.,Act 3,Scene 3
King John,The plains near Angiers. King Philip's tent.,Act 3,Scene 4
King Lear,A chamber in a farmhouse adjoining the castle.,Act 3,Scene 6
King Lear,A hall in the Duke of Albany's palace.,Act 1,Scene 4
King Lear,A heath.,Act 3,Scene 1
King Lear,A heath.,Act 4,Scene 1
King Lear,A wood.,Act 2,Scene 3
King Lear,Another part of the heath.,Act 3,Scene 2
King Lear,Before Gloucester's castle.,Act 2,Scene 2
King Lear,Before Gloucester's castle.,Act 2,Scene 4
King Lear,Before the Duke of Albany's palace.,Act 4,Scene 2
King Lear,Court before the palace.,Act 1,Scene 5
King Lear,Fields near Dover.,Act 4,Scene 6
King Lear,Gloucester's castle.,Act 3,Scene 3
King Lear,Gloucester's castle.,Act 3,Scene 5
King Lear,Gloucester's castle.,Act 3,Scene 7
King Lear,Gloucester's Castle.,Act 4,Scene 5
King Lear,King Lear's palace.,Act 1,Scene 1
